metadata_source,paper_id,title,published_venue,publication_year,treatment,outcome,sign,context,triplet_key,triplet_uid,ideology_sensitivity,policy_direction,economic_liberal_preferred_sign,economic_conservative_preferred_sign,region_bucket,time_decade,unit_of_analysis,race,gender,age,text_surface_cues_up,text_surface_cues_down,evidence,normalization_warnings,validation_errors
legacy,17491,Mutual Fund Performance and the Incentive to Generate Alpha,journal_of_finance,2011,Direct-sold distribution,Family investment style specialization,+,"This analysis uses U.S. mutual fund family–level data on Morningstar investment styles (1996–2002, with emphasis on 2002) to compare families that primarily distribute via direct-sold versus broker-sold channels. The unit is the mutual fund family; outcomes are the number of Morningstar styles offered and the percentage of actively managed domestic equity assets concentrated in the family’s investment specialty, with distribution classification from FRC/CRSP and controls for family size.",17491|direct-sold distribution|family investment style specialization,,non_sensitive,unclear,,,"[""Developed""]","[""1990s"", ""2000s""]","[""firm""]",[],[],[],[],[],"{""ideology_sensitivity"": [""Direct-sold distribution"", ""Family investment style specialization"", ""compare families that primarily distribute via direct-sold versus broker-sold channels""], ""policy_direction"": [], ""preferred_signs"": [""Direct-sold distribution"", ""Family investment style specialization"", ""compare families that primarily distribute via direct-sold versus broker-sold channels""], ""region_bucket"": [""U.S. mutual fund family–level data""], ""time_decade"": [""1996–2002"", ""2002""], ""unit_of_analysis"": [""The unit is the mutual fund family""], ""demographics"": [], ""text_surface_cues"": []}",[],[]
legacy,7032,Pairs Trading:  Performance of a Relative Value Arbitrage Rule,review_of_financial_studies,1999,Pairs trading strategy,Excess returns,+,"Using daily U.S. equity data from 1962–1997 (CRSP), the paper studies pairs trading across individual stocks (liquid CRSP-listed firms) to evaluate relative-price arbitrage. Pairs are formed on 12-month formation windows and traded over subsequent six-month horizons (monthly staggered starts). The institutional setting is the U.S. stock market with attention to market microstructure (bid–ask bounce, transaction costs), sector composition (utilities, financials, industrials, transportation), and the role of institutional/hedge-fund arbitrageurs in maintaining near–Law-of-One-Price pricing.",7032|pairs trading strategy|excess returns,,non_sensitive,unclear,,,"[""Developed""]","[""1960s"", ""1970s"", ""1980s"", ""1990s""]","[""firm""]",[],[],[],[],[],"{""ideology_sensitivity"": [""pairs trading strategy"", ""evaluate relative-price arbitrage"", ""Excess returns""], ""policy_direction"": [], ""preferred_signs"": [""pairs trading strategy"", ""evaluate relative-price arbitrage"", ""Excess returns""], ""region_bucket"": [""Using daily U.S. equity data"", ""The institutional setting is the U.S. stock market""], ""time_decade"": [""1962–1997""], ""unit_of_analysis"": [""pairs trading across individual stocks (liquid CRSP-listed firms)""], ""demographics"": [], ""text_surface_cues"": []}",[],[]
legacy,13874,Collateral Pricing,journal_of_financial_economics,2008,Collateral redeployability,Credit spreads,-,"This paper studies secured debt tranches issued by U.S. airlines during 1990–2005 (with emphasis on 1994–2005), using tranche-level observations (246 tranches, 1,086 aircraft) to estimate how aircraft collateral redeployability affects credit spreads, ratings, loan‑to‑value, and maturity. The institutional setting is the U.S. ETC/EETC/PTC market—bankruptcy‑remote structures governed by Section 1110 protections—where authors match aircraft serial numbers to the Ascend CASE database to construct redeployability measures (aircraft counts, operator counts, operators with ≥5) and exploit cross‑sectional and panel variation including year and airline fixed effects.",13874|collateral redeployability|credit spreads,,non_sensitive,unclear,,,"[""Developed""]","[""1990s"", ""2000s""]",[],[],[],[],[],[],"{""ideology_sensitivity"": [""study of secured debt tranches ... to estimate how aircraft collateral redeployability affects credit spreads""], ""policy_direction"": [], ""preferred_signs"": [""study of secured debt tranches ... to estimate how aircraft collateral redeployability affects credit spreads""], ""region_bucket"": [""U.S. airlines"", ""institutional setting is the U.S. ETC/EETC/PTC market"", ""U.S.""], ""time_decade"": [""1990–2005"", ""1994–2005""], ""unit_of_analysis"": [""tranche-level observations (246 tranches, 1,086 aircraft)"", ""using tranche-level observations""], ""demographics"": [], ""text_surface_cues"": []}",[],[]
legacy,23432,"Innovative Originality, Profitability, and Stock Returns",review_of_financial_studies,2017,Innovative originality,Gross margin persistence,+,"For this triplet the paper analyzes U.S. publicly traded nonfinancial firms (Compustat–CRSP matched) using USPTO patents through 2006 to construct a five‑year rolling firm-level InnOrig measure. The relation to gross‑margin persistence is estimated in annual Fama–MacBeth cross‑sectional regressions of next‑year gross margin on lagged InnOrig, current and lagged GM, and their interaction, controlling for firm characteristics (sample roughly 1981–2007).",23432|innovative originality|gross margin persistence,,non_sensitive,unclear,,,"[""Developed""]","[""1980s"", ""1990s"", ""2000s""]","[""firm""]",[],[],[],[],[],"{""ideology_sensitivity"": [""Innovative originality"", ""Gross margin persistence"", ""relation to gross‑margin persistence is estimated""], ""policy_direction"": [], ""preferred_signs"": [""Innovative originality"", ""Gross margin persistence"", ""relation to gross‑margin persistence is estimated""], ""region_bucket"": [""U.S. publicly traded nonfinancial firms (Compustat–CRSP matched)""], ""time_decade"": [""sample roughly 1981–2007"", ""using USPTO patents through 2006""], ""unit_of_analysis"": [""firm-level InnOrig measure"", ""U.S. publicly traded nonfinancial firms"", ""firm-level""], ""demographics"": [], ""text_surface_cues"": []}",[],[]
legacy,9433,How is Macro News Transmitted to Exchange Rates?,journal_of_financial_economics,2003,Macro news flow,Exchange rate variance,+,"This paper empirically examines how macroeconomic news affects the DM/USD exchange rate by transmitting through order flow, using tick-by-tick transactions (marketmaker-to-marketmaker trades) and five-minute intervals from the Reuters Dealing 2000-1 system over May–August 1996. Daily and intraday analyses link Reuters Money Market Headline News arrivals (U.S. and German macro news) to signed order flow and price changes, estimating structural GMM models with state-dependent heteroskedasticity to distinguish direct and order-flow-mediated news effects in the major interbank spot DM/USD market.",9433|macro news flow|exchange rate variance,,non_sensitive,unclear,,,"[""Developed""]","[""1990s""]","[""government_country""]",[],[],[],[],[],"{""ideology_sensitivity"": [""treatment: Macro news flow"", ""outcome: Exchange rate variance"", ""paper empirically examines how macroeconomic news affects the DM/USD exchange rate""], ""policy_direction"": [], ""preferred_signs"": [""treatment: Macro news flow"", ""outcome: Exchange rate variance"", ""paper empirically examines how macroeconomic news affects the DM/USD exchange rate""], ""region_bucket"": [""U.S. and German macro news"", ""DM/USD exchange rate"", ""major interbank spot DM/USD market""], ""time_decade"": [""May–August 1996""], ""unit_of_analysis"": [""DM/USD exchange rate"", ""interbank spot DM/USD market"", ""U.S. and German macro news""], ""demographics"": [], ""text_surface_cues"": []}",[],[]
legacy,16801,Hedge Fund Leverage,journal_of_financial_economics,2011,Funding costs,Hedge fund leverage,-,"Uses a fund-of-hedge-funds panel (208 hedge funds, 8,136 fund-months) with monthly observations from December 2004–October 2009 to study hedge fund leverage dynamics through the 2007–2009 financial crisis. Units are individual hedge funds (U.S. and international, USD-denominated) grouped by strategy; analyses relate fund-level leverage (gross, net, long-only) to macro funding and risk indicators (VIX, LIBOR, CDS, TED, equity returns), fund flows/AUM, and prime-broker funding constraints, and compare hedge fund exposure with listed banks and investment banks.",16801|funding costs|hedge fund leverage,,non_sensitive,unclear,,,"[""Developed""]","[""2000s""]","[""firm""]",[],[],[],[],[],"{""ideology_sensitivity"": [""treatment : Funding costs"", ""outcome : Hedge fund leverage""], ""policy_direction"": [], ""preferred_signs"": [""treatment : Funding costs"", ""outcome : Hedge fund leverage""], ""region_bucket"": [""Units are individual hedge funds (U.S. and international, USD-denominated)""], ""time_decade"": [""monthly observations from December 2004–October 2009"", ""2007–2009 financial crisis""], ""unit_of_analysis"": [""Units are individual hedge funds (U.S. and international, USD-denominated)""], ""demographics"": [], ""text_surface_cues"": []}",[],[]
legacy,6210,Financial Constraints and Stock Returns,review_of_financial_studies,1997,Financial constraints,Common covariation in stock returns,+,"This paper studies US publicly traded firms (NYSE/AMEX/NASDAQ) from July 1968–December 1995, constructing firm-level portfolios sorted annually on financial-constraint measures (net cash flow, KZ index, interest coverage, dividend payout). Units are individual firms and zero-cost factor-mimicking portfolios whose monthly returns are analyzed to test whether financial constraints generate common covariation in stock returns. The setting links corporate-finance characteristics to macro shocks—monetary policy, credit spreads, and leading economic indicators—and examines IPOs and dividend omissions while controlling for size, book-to-market, industry, and exchange.",6210|financial constraints|common covariation in stock returns,,non_sensitive,unclear,,,"[""Developed""]","[""1960s"", ""1970s"", ""1980s"", ""1990s""]","[""firm""]",[],[],[],[],[],"{""ideology_sensitivity"": [""test whether financial constraints generate common covariation in stock returns"", ""links corporate-finance characteristics to macro shocks—monetary policy, credit spreads, and leading economic indicators""], ""policy_direction"": [], ""preferred_signs"": [""test whether financial constraints generate common covariation in stock returns"", ""links corporate-finance characteristics to macro shocks—monetary policy, credit spreads, and leading economic indicators""], ""region_bucket"": [""This paper studies US publicly traded firms (NYSE/AMEX/NASDAQ)""], ""time_decade"": [""from July 1968–December 1995""], ""unit_of_analysis"": [""Units are individual firms and zero-cost factor-mimicking portfolios"", ""constructing firm-level portfolios""], ""demographics"": [], ""text_surface_cues"": []}",[],[]
legacy,7214,Behavioralize This!  International Evidence on Autocorrelation Patterns of Stock Index and Futures Returns,review_of_financial_studies,1999,Transactions costs,Autocorrelation differences between spot and futures returns,None,"This paper analyzes daily returns on stock indices and their corresponding futures contracts across 24 contracts in 15 countries, using contract-specific samples spanning primarily 1982–1999 (ending Feb 1999). The unit of observation is daily index and futures returns (with volume, open interest, interest/dividend data). The empirical setting exploits spot–futures no-arbitrage and variation in trading volume and transaction-cost bounds to test whether short-horizon positive autocorrelations arise from market microstructure (nonsynchronous trading, stale/bid–ask prices) or behavioral partial-adjustment models.",7214|transactions costs|autocorrelation differences between spot and futures returns,,non_sensitive,unclear,,,[],"[""1980s"", ""1990s""]",[],[],[],[],"[""positive""]",[],"{""ideology_sensitivity"": [""The empirical setting exploits spot–futures no-arbitrage and variation in trading volume and transaction-cost bounds to test whether short-horizon positive autocorrelations arise from market microstructure (nonsynchronous trading, stale/bid–ask prices) or behavioral partial-adjustment models."", ""treatment: Transactions costs"", ""outcome: Autocorrelation differences between spot and futures returns""], ""policy_direction"": [], ""preferred_signs"": [""The empirical setting exploits spot–futures no-arbitrage and variation in trading volume and transaction-cost bounds to test whether short-horizon positive autocorrelations arise from market microstructure (nonsynchronous trading, stale/bid–ask prices) or behavioral partial-adjustment models."", ""treatment: Transactions costs"", ""outcome: Autocorrelation differences between spot and futures returns""], ""region_bucket"": [""across 24 contracts in 15 countries""], ""time_decade"": [""spanning primarily 1982–1999 (ending Feb 1999)""], ""unit_of_analysis"": [""The unit of observation is daily index and futures returns (with volume, open interest, interest/dividend data)""], ""demographics"": [], ""text_surface_cues"": [""short-horizon positive autocorrelations arise"", ""positive autocorrelations""]}",[],[]
legacy,17491,Mutual Fund Performance and the Incentive to Generate Alpha,journal_of_finance,2011,Direct-sold distribution,Managers from top-quartile math-SAT schools,+,"Using Morningstar data on managers’ undergraduate institutions in 2002, the authors analyze actively managed U.S. domestic equity funds (fund-level observations in 2002, excluding subadvised funds). For each fund they construct manager-level proxies (equally weighting multiple named managers) and regress the fraction of managers from top-quartile math-SAT schools on a direct-sold fund indicator, controlling for family size and clustering standard errors by mutual fund family.",17491|direct-sold distribution|managers from top-quartile math-sat schools,,non_sensitive,unclear,,,"[""Developed""]","[""2000s""]","[""firm""]",[],[],[],[],[],"{""ideology_sensitivity"": [""treatment: Direct-sold distribution"", ""outcome: Managers from top-quartile math-SAT schools""], ""policy_direction"": [], ""preferred_signs"": [""treatment: Direct-sold distribution"", ""outcome: Managers from top-quartile math-SAT schools""], ""region_bucket"": [""U.S. domestic equity funds""], ""time_decade"": [""2002""], ""unit_of_analysis"": [""fund-level observations in 2002"", ""actively managed U.S. domestic equity funds (fund-level observations in 2002, excluding subadvised funds)""], ""demographics"": [], ""text_surface_cues"": []}",[],[]
legacy,18619,Disagreement and Asset Prices,journal_of_financial_economics,2012,Disagreement index,Mortgage return volatility,+,"This study analyzes monthly prepayment‑speed (PSA) forecasts from major Wall Street mortgage dealers and monthly returns, return volatility, and trading volume for U.S. agency mortgage‑backed securities (Fannie Mae TBAs) over July 1993–January 2012. Units include dealer PSA forecasts, monthly FNMA TBA returns, and primary dealer trading volume. The institutional setting is the highly liquid U.S. agency MBS/TBA market (GNMA/FNMA) where cash‑flow risk is driven primarily by mortgage prepayment timing and securities are government‑guaranteed, limiting credit and short‑sale frictions.",18619|disagreement index|mortgage return volatility,,non_sensitive,unclear,,,"[""Developed""]","[""1990s"", ""2000s"", ""2010s""]","[""firm""]",[],[],[],[],[],"{""ideology_sensitivity"": [""Disagreement index"", ""Mortgage return volatility"", ""institutional setting is the highly liquid U.S. agency MBS/TBA market (GNMA/FNMA) where ... securities are government‑guaranteed, limiting credit and short‑sale frictions""], ""policy_direction"": [], ""preferred_signs"": [""Disagreement index"", ""Mortgage return volatility"", ""institutional setting is the highly liquid U.S. agency MBS/TBA market (GNMA/FNMA) where ... securities are government‑guaranteed, limiting credit and short‑sale frictions""], ""region_bucket"": [""U.S. agency mortgage‑backed securities (Fannie Mae TBAs)"", ""Wall Street"", ""U.S. agency MBS/TBA market""], ""time_decade"": [""July 1993–January 2012""], ""unit_of_analysis"": [""dealer PSA forecasts"", ""monthly FNMA TBA returns"", ""primary dealer trading volume""], ""demographics"": [], ""text_surface_cues"": []}",[],[]
legacy,4074,Global Financial Markets and the Risk Premium on U.S. Equity,journal_of_financial_economics,1992,Conditional covariance with foreign returns,U.S. conditional expected excess return,+,"This paper empirically examines daily excess returns on the U.S. market (S&P 500) and foreign equity indices—Japan's Nikkei 225 and Morgan Stanley Japan and EAFE—over 1978–1989 (1980–1989 for some indices) to test whether global market integration determines the U.S. equity risk premium. Using market-capitalization weights from Morgan Stanley, the authors model index-level daily returns under ICAPM/CAPM assumptions, account for non-synchronous trading and exchange-rate conversion, and estimate bivariate GARCH-in-mean dynamics relating conditional covariances/variances to expected excess returns.",4074|conditional covariance with foreign returns|u.s. conditional expected excess return,,non_sensitive,unclear,,,"[""Developed""]","[""1970s"", ""1980s""]","[""government_country""]",[],[],[],[],[],"{""ideology_sensitivity"": [""test whether global market integration determines the U.S. equity risk premium"", ""model index-level daily returns under ICAPM/CAPM assumptions""], ""policy_direction"": [], ""preferred_signs"": [""test whether global market integration determines the U.S. equity risk premium"", ""model index-level daily returns under ICAPM/CAPM assumptions""], ""region_bucket"": [""U.S. market (S&P 500)"", ""Japan's Nikkei 225"", ""EAFE"", ""Morgan Stanley Japan""], ""time_decade"": [""1978–1989"", ""(1980–1989 for some indices)""], ""unit_of_analysis"": [""daily excess returns on the U.S. market (S&P 500) and foreign equity indices"", ""index-level daily returns""], ""demographics"": [], ""text_surface_cues"": []}",[],[]
legacy,6222,Option Hedging Using Empirical Pricing Kernels,journal_of_financial_economics,1997,LVF delta hedge,Portfolio standard deviation,-,This paper analyzes U.S. S&P500 index option prices and index returns using daily data over 1992–1996 (hedging tests on 839 hedging dates). Units of observation are S&P500 index returns and cross-sections of ATM and OTM option contracts. The authors recover daily empirical pricing kernels from option premia via a flexible risk-neutral density and estimate time-varying objective probabilities using a GARCH components-with-leverage model to simulate one-day-ahead derivative price distributions and evaluate minimum-variance hedges.,6222|lvf delta hedge|portfolio standard deviation,,non_sensitive,unclear,,,"[""Developed""]","[""1990s""]",[],[],[],[],[],[],"{""ideology_sensitivity"": [""LVF delta hedge"", ""Portfolio standard deviation"", ""hedging tests"", ""minimum-variance hedges""], ""policy_direction"": [], ""preferred_signs"": [""LVF delta hedge"", ""Portfolio standard deviation"", ""hedging tests"", ""minimum-variance hedges""], ""region_bucket"": [""U.S. S&P500 index option prices""], ""time_decade"": [""daily data over 1992–1996""], ""unit_of_analysis"": [""Units of observation are S&P500 index returns and cross-sections of ATM and OTM option contracts""], ""demographics"": [], ""text_surface_cues"": []}",[],[]
legacy,27537,Kicking the Can Down the Road: Government Interventions in the European Banking Sector,review_of_financial_studies,2020,Being undercapitalized,lending to zombie firms,+,"This paper studies eurozone bank-level interventions during the Global Financial Crisis and subsequent sovereign-debt shock, using hand-collected State Aid Register data on interventions from 2007–2009 and balance-sheet and loan-level outcomes through 2012. The unit of analysis is ultimate-parent banks (N=830) and bank–firm loan relationships, across eurozone countries differing in fiscal capacity and access to ECB facilities (including LTRO). The institutional setting includes national government recapitalizations, guarantees, liquidity measures, and EU Commission approvals, with fiscal constraints proxied by revenue/GDP, debt/GDP and maturing debt.",27537|being undercapitalized|lending to zombie firms,,,unclear,,,"[""Developed""]","[""2000s"", ""2010s""]","[""firm""]",[],[],[],[],[],"{""ideology_sensitivity"": [], ""policy_direction"": [], ""preferred_signs"": [], ""region_bucket"": [""eurozone"", ""European Banking Sector"", ""eurozone countries"", ""EU Commission""], ""time_decade"": [""2007–2009"", ""through 2012""], ""unit_of_analysis"": [""ultimate-parent banks (N=830)"", ""bank–firm loan relationships""], ""demographics"": [], ""text_surface_cues"": []}","[""legacy ideologically_sensitive flag missing; preserved as missing""]",[]
legacy,8991,Stock Valuation and Learning about Profitability,journal_of_finance,2002,Firm age,market-to-book ratio,-,"This paper studies valuations and return volatility of U.S. publicly listed firms using annual CRSP/Compustat firm‑year data for 1962–2000. The unit of observation is the firm (firm‑year); outcomes include market‑to‑book, idiosyncratic return volatility, and accounting profitability (ROE). Empirical tests exploit cross‑sectional and time‑series variation in firm age, dividend policy, future realized ROE/returns, and firm characteristics to evaluate a model in which investors learn about persistent firm profitability amid changing IPO activity and declining dividend payouts.",8991|firm age|market-to-book ratio,,non_sensitive,unclear,,,"[""Developed""]","[""1960s"", ""1970s"", ""1980s"", ""1990s"", ""2000s""]","[""firm""]",[],[],[],[],"[""declining""]","{""ideology_sensitivity"": [""Treatment: Firm age"", ""Outcome: market-to-book ratio"", ""This paper studies valuations and return volatility of U.S. publicly listed firms using annual CRSP/Compustat firm‑year data for 1962–2000.""], ""policy_direction"": [], ""preferred_signs"": [""Treatment: Firm age"", ""Outcome: market-to-book ratio"", ""This paper studies valuations and return volatility of U.S. publicly listed firms using annual CRSP/Compustat firm‑year data for 1962–2000.""], ""region_bucket"": [""U.S. publicly listed firms""], ""time_decade"": [""1962–2000""], ""unit_of_analysis"": [""The unit of observation is the firm (firm‑year)""], ""demographics"": [], ""text_surface_cues"": [""declining dividend payouts""]}",[],[]
legacy,7056,International Asset Allocation with Time-Varying Correlations,review_of_financial_studies,1999,Time-varying correlations,Intertemporal hedging demands,None,"Using monthly MSCI total-return data from January 1970–December 1997 for US, UK and German equity markets (and US short rates and earnings yields), the paper studies dynamic international portfolio choice for a U.S. investor (CRRA preferences). It models asset returns and exchange-rate/hedged returns at the monthly level with two-state Markov regime‑switching processes (high‑ and low‑volatility regimes) to assess how time‑varying volatilities, correlations, and currency hedging affect optimal allocations and welfare.",7056|time-varying correlations|intertemporal hedging demands,,non_sensitive,unclear,,,"[""Developed""]","[""1970s"", ""1980s"", ""1990s""]","[""personal_household""]",[],[],[],[],[],"{""ideology_sensitivity"": [""treatment: Time-varying correlations"", ""outcome: Intertemporal hedging demands"", ""analysis concerns portfolio choice, volatilities, correlations, and currency hedging (technical/financial)""], ""policy_direction"": [], ""preferred_signs"": [""treatment: Time-varying correlations"", ""outcome: Intertemporal hedging demands"", ""analysis concerns portfolio choice, volatilities, correlations, and currency hedging (technical/financial)""], ""region_bucket"": [""US, UK and German equity markets""], ""time_decade"": [""Using monthly MSCI total-return data from January 1970–December 1997""], ""unit_of_analysis"": [""the paper studies dynamic international portfolio choice for a U.S. investor (CRRA preferences)""], ""demographics"": [], ""text_surface_cues"": []}",[],[]
legacy,4718,A Nonparametric Approach to Pricing and Hedging Derivative Securities   Via Learning Networks,journal_of_finance,1994,RBF pricing formula,Delta-hedging tracking error,mixed,"This paper develops and evaluates nonparametric “learning network” pricing formulas (RBF, MLP, PPR) using Monte Carlo simulations calibrated to a typical NYSE stock (S0=$50, μ=10%, σ=20%) with two years of daily Black–Scholes option prices and six-month out-of-sample tests, and an empirical application to daily S&P 500 futures options from 1987–1991. Units are option contracts and underlying asset prices; institutional details include CBOE strike-introduction rules and discrete (daily) delta-hedging. The focus is on pricing accuracy and hedging performance in market data and simulated paths.",4718|rbf pricing formula|delta-hedging tracking error,,non_sensitive,unclear,,,"[""Developed""]","[""1980s"", ""1990s""]",[],[],[],[],[],[],"{""ideology_sensitivity"": [""This paper develops and evaluates nonparametric “learning network” pricing formulas (RBF, MLP, PPR) using Monte Carlo simulations ..."", ""The focus is on pricing accuracy and hedging performance in market data and simulated paths.""], ""policy_direction"": [], ""preferred_signs"": [""This paper develops and evaluates nonparametric “learning network” pricing formulas (RBF, MLP, PPR) using Monte Carlo simulations ..."", ""The focus is on pricing accuracy and hedging performance in market data and simulated paths.""], ""region_bucket"": [""NYSE"", ""S&P 500 futures"", ""CBOE""], ""time_decade"": [""1987–1991""], ""unit_of_analysis"": [""Units are option contracts and underlying asset prices""], ""demographics"": [], ""text_surface_cues"": []}",[],[]
legacy,4722,Testing Static Trade-off Against Pecking Order Models of Capital Structure,journal_of_financial_economics,1994,Anticipated financing deficit,Gross debt issuance,+,"Analyzes U.S. publicly listed industrial firms (Compustat sample of 157 firms, excluding financials and utilities) over 1971–1989 to compare capital-structure theories. Units are firms observed annually with book debt ratios and detailed flow-of-funds components; most firms are large, typically investment-grade. The paper contrasts a pecking-order financing mechanism (debt issued to cover internal deficits) with static trade-off/target-adjustment models, using firm- and year-level regressions, instruments for anticipated deficits, panel and cross-sectional specifications, and simulation-based robustness checks.",4722|anticipated financing deficit|gross debt issuance,,non_sensitive,unclear,,,"[""Developed""]","[""1970s"", ""1980s""]","[""firm""]",[],[],[],[],[],"{""ideology_sensitivity"": [""to compare capital-structure theories"", ""using firm- and year-level regressions, instruments for anticipated deficits, panel and cross-sectional specifications, and simulation-based robustness checks""], ""policy_direction"": [], ""preferred_signs"": [""to compare capital-structure theories"", ""using firm- and year-level regressions, instruments for anticipated deficits, panel and cross-sectional specifications, and simulation-based robustness checks""], ""region_bucket"": [""Analyzes U.S. publicly listed industrial firms (Compustat sample of 157 firms, excluding financials and utilities)""], ""time_decade"": [""over 1971–1989""], ""unit_of_analysis"": [""Units are firms observed annually"", ""Compustat sample of 157 firms""], ""demographics"": [], ""text_surface_cues"": []}",[],[]
legacy,4722,Testing Static Trade-off Against Pecking Order Models of Capital Structure,journal_of_financial_economics,1994,Financial deficit,Gross debt issuance,+,"Analyzes U.S. publicly listed industrial firms (Compustat sample of 157 firms, excluding financials and utilities) over 1971–1989 to compare capital-structure theories. Units are firms observed annually with book debt ratios and detailed flow-of-funds components; most firms are large, typically investment-grade. The paper contrasts a pecking-order financing mechanism (debt issued to cover internal deficits) with static trade-off/target-adjustment models, using firm- and year-level regressions, instruments for anticipated deficits, panel and cross-sectional specifications, and simulation-based robustness checks.",4722|financial deficit|gross debt issuance,,non_sensitive,unclear,,,"[""Developed""]","[""1970s"", ""1980s""]","[""firm""]",[],[],[],[],[],"{""ideology_sensitivity"": [""Analyzes U.S. publicly listed industrial firms ... over 1971–1989 to compare capital-structure theories."", ""treatment : Financial deficit"", ""outcome : Gross debt issuance""], ""policy_direction"": [], ""preferred_signs"": [""Analyzes U.S. publicly listed industrial firms ... over 1971–1989 to compare capital-structure theories."", ""treatment : Financial deficit"", ""outcome : Gross debt issuance""], ""region_bucket"": [""U.S. publicly listed industrial firms""], ""time_decade"": [""1971–1989""], ""unit_of_analysis"": [""firms observed annually"", ""firms""], ""demographics"": [], ""text_surface_cues"": []}",[],[]
legacy,25751,Can the Market Multiply and Divide? Non-Proportional Thinking in Financial Markets,journal_of_finance,2019,2-for-1 stock split,Market beta,+,"This paper empirically studies U.S. publicly traded stocks (monthly and daily firm-level observations) over 1926–2016 (with subsamples: OptionMetrics from 1996, Dow Jones news from 2000, I/B/E/S from 1983). Using CRSP/Compustat/OptionMetrics/I/B/E/S and textual news, the authors exploit pre‑announced stock splits (and reverse splits), earnings announcements, and identified news events across S&P 500 and broader samples to estimate how nominal share price causally affects volatility, betas, and return responses in U.S. equity markets.",25751|2-for-1 stock split|market beta,,non_sensitive,unclear,,,"[""Developed""]","[""1920s"", ""1930s"", ""1940s"", ""1950s"", ""1960s"", ""1970s"", ""1980s"", ""1990s"", ""2000s"", ""2010s""]","[""firm""]",[],[],[],[],[],"{""ideology_sensitivity"": [""2-for-1 stock split"", ""Market beta"", ""U.S. equity markets""], ""policy_direction"": [], ""preferred_signs"": [""2-for-1 stock split"", ""Market beta"", ""U.S. equity markets""], ""region_bucket"": [""U.S. publicly traded stocks"", ""U.S. equity markets""], ""time_decade"": [""1926–2016"", ""OptionMetrics from 1996"", ""Dow Jones news from 2000"", ""I/B/E/S from 1983""], ""unit_of_analysis"": [""monthly and daily firm-level observations"", ""stocks"", ""firm-level""], ""demographics"": [], ""text_surface_cues"": []}",[],[]
legacy,29636,Information versus Investment,review_of_financial_studies,2022,Disclosure regulation,Firm value,mixed,"This paper studies U.S. publicly listed firms (Compustat and Audit Analytics) over 1999–2015, using annual firm-level panels of earnings restatements (revenue-recognition and irregularity cases) and measures of intangible investment (SG&A or R&D). It exploits regulatory variation around Sarbanes–Oxley (pre/post) and firm-level restatement episodes to estimate a calibrated dynamic general-equilibrium model in which managers choose real (intangibles) investment versus earnings misreporting, intermediaries extract information rents, and disclosure regulation affects cost of capital, firm value, and aggregate growth.",29636|disclosure regulation|firm value,,ideology_sensitive,unclear,+,-,"[""Developed""]","[""1990s"", ""2000s"", ""2010s""]","[""firm""]",[],[],[],"[""growth""]",[],"{""ideology_sensitivity"": [""Disclosure regulation"", ""firm value"", ""disclosure regulation affects cost of capital, firm value, and aggregate growth""], ""policy_direction"": [], ""preferred_signs"": [""Disclosure regulation"", ""firm value"", ""disclosure regulation affects cost of capital, firm value, and aggregate growth""], ""region_bucket"": [""U.S. publicly listed firms""], ""time_decade"": [""1999–2015""], ""unit_of_analysis"": [""annual firm-level panels"", ""firms""], ""demographics"": [], ""text_surface_cues"": [""aggregate growth""]}",[],[]
legacy,6222,Option Hedging Using Empirical Pricing Kernels,journal_of_financial_economics,1997,Historical regression hedge,Portfolio standard deviation,-,This paper analyzes U.S. S&P500 index option prices and index returns using daily data over 1992–1996 (hedging tests on 839 hedging dates). Units of observation are S&P500 index returns and cross-sections of ATM and OTM option contracts. The authors recover daily empirical pricing kernels from option premia via a flexible risk-neutral density and estimate time-varying objective probabilities using a GARCH components-with-leverage model to simulate one-day-ahead derivative price distributions and evaluate minimum-variance hedges.,6222|historical regression hedge|portfolio standard deviation,,non_sensitive,unclear,,,"[""Developed""]","[""1990s""]",[],[],[],[],[],[],"{""ideology_sensitivity"": [""treatment: Historical regression hedge"", ""outcome: Portfolio standard deviation""], ""policy_direction"": [], ""preferred_signs"": [""treatment: Historical regression hedge"", ""outcome: Portfolio standard deviation""], ""region_bucket"": [""U.S. S&P500 index""], ""time_decade"": [""daily data over 1992–1996""], ""unit_of_analysis"": [""Units of observation are S&P500 index returns and cross-sections of ATM and OTM option contracts.""], ""demographics"": [], ""text_surface_cues"": []}",[],[]
